name	encoder	decoder	B	n	support	seed	search_candidates
B14_n256_sparse_iid_s16_d0_seed2801	sparse_iid_fixed	d0	14	256	16	2801	1
B14_n256_sparse_iid_s16_d1_seed2801	sparse_iid_fixed	d1	14	256	16	2801	1
B14_n256_sparse_iid_s16_d0_seed2802	sparse_iid_fixed	d0	14	256	16	2802	1
B14_n256_sparse_iid_s16_d1_seed2802	sparse_iid_fixed	d1	14	256	16	2802	1
B14_n256_hash_table_random_s16_d0_seed2801	hash_table_random_fixed	d0	14	256	16	2801	1
B14_n256_hash_table_random_s16_d1_seed2801	hash_table_random_fixed	d1	14	256	16	2801	1
B14_n256_hash_table_random_s16_d0_seed2802	hash_table_random_fixed	d0	14	256	16	2802	1
B14_n256_hash_table_random_s16_d1_seed2802	hash_table_random_fixed	d1	14	256	16	2802	1
B14_n256_hash_linear_random_s16_d0_seed2801	hash_linear_random_fixed	d0	14	256	16	2801	1
B14_n256_hash_linear_random_s16_d1_seed2801	hash_linear_random_fixed	d1	14	256	16	2801	1
B14_n256_hash_linear_random_s16_d0_seed2802	hash_linear_random_fixed	d0	14	256	16	2802	1
B14_n256_hash_linear_random_s16_d1_seed2802	hash_linear_random_fixed	d1	14	256	16	2802	1
B14_n256_hash_linear_selected_s16_d0_seed2801	hash_linear_selected_fixed	d0	14	256	16	2801	128
B14_n256_hash_linear_selected_s16_d1_seed2801	hash_linear_selected_fixed	d1	14	256	16	2801	128
B14_n256_hash_linear_selected_s16_d0_seed2802	hash_linear_selected_fixed	d0	14	256	16	2802	128
B14_n256_hash_linear_selected_s16_d1_seed2802	hash_linear_selected_fixed	d1	14	256	16	2802	128
B14_n256_sparse_iid_s32_d0_seed2801	sparse_iid_fixed	d0	14	256	32	2801	1
B14_n256_sparse_iid_s32_d1_seed2801	sparse_iid_fixed	d1	14	256	32	2801	1
B14_n256_sparse_iid_s32_d0_seed2802	sparse_iid_fixed	d0	14	256	32	2802	1
B14_n256_sparse_iid_s32_d1_seed2802	sparse_iid_fixed	d1	14	256	32	2802	1
B14_n256_hash_table_random_s32_d0_seed2801	hash_table_random_fixed	d0	14	256	32	2801	1
B14_n256_hash_table_random_s32_d1_seed2801	hash_table_random_fixed	d1	14	256	32	2801	1
B14_n256_hash_table_random_s32_d0_seed2802	hash_table_random_fixed	d0	14	256	32	2802	1
B14_n256_hash_table_random_s32_d1_seed2802	hash_table_random_fixed	d1	14	256	32	2802	1
B14_n256_hash_linear_random_s32_d0_seed2801	hash_linear_random_fixed	d0	14	256	32	2801	1
B14_n256_hash_linear_random_s32_d1_seed2801	hash_linear_random_fixed	d1	14	256	32	2801	1
B14_n256_hash_linear_random_s32_d0_seed2802	hash_linear_random_fixed	d0	14	256	32	2802	1
B14_n256_hash_linear_random_s32_d1_seed2802	hash_linear_random_fixed	d1	14	256	32	2802	1
B14_n256_hash_linear_selected_s32_d0_seed2801	hash_linear_selected_fixed	d0	14	256	32	2801	128
B14_n256_hash_linear_selected_s32_d1_seed2801	hash_linear_selected_fixed	d1	14	256	32	2801	128
B14_n256_hash_linear_selected_s32_d0_seed2802	hash_linear_selected_fixed	d0	14	256	32	2802	128
B14_n256_hash_linear_selected_s32_d1_seed2802	hash_linear_selected_fixed	d1	14	256	32	2802	128
B14_n256_dense_d0_seed2801	dense_fixed	d0	14	256	256	2801	1
B14_n256_dense_d1_seed2801	dense_fixed	d1	14	256	256	2801	1
B14_n256_dense_d0_seed2802	dense_fixed	d0	14	256	256	2802	1
B14_n256_dense_d1_seed2802	dense_fixed	d1	14	256	256	2802	1
